Subcategory,Name,Address1,Address2,City,State,Zip,Email,Phone,FAX,OccupancyType,OccupancyNotes,MapPage,FireAlarmPanelLoc,MasterKeyLoc,BuildingHeight,NumberOfFloors,BasementPresent,Width,Length,SquareFeet,GasLPGShutoffLoc,ElectricalPanelLoc,FDConnections,SprinklerRoomLoc,OtherLocInfo,WaterSupplyInfo,ExposureInfo,HazMat,BuildingAccess,AccessProblems,VentilationProblems,TimeNormallyOccupied,PrePlanNotes,UserOccupancyID,LicenseNumber,NumberOfUnits,OccupancyLoad,UBCode,NFPACode,IBCode,AssessorParcelNumber,NumberMilepost,StreetPrefixDirection,StreetOrHighwayName,StreetType,StreetSuffix,AptOrSuite,ISOID,Latitude,CriticalInfrastructure,BuildingNumber,YearBuilt,Longitude,NFIRSPropertyUse,AssessedValue,NationalGrid,UtilityBillingNumber,RoofTypeId,RoofMaterialId,RoofConstructionId,ConstructionTypeId,StationID,DispatchID,Population DensityID
A2 Food and Drink,Lee's Family Restaurant,2613 NE Adams ST,,Peoria,IL,61603,,,,A-2 Restaurants,Building is boarded up and vacant,,,,,,,,,,,,,,,,,,,,,,,14622,,,,,,,,2613,NE,Adams,ST,,,,40.7127539,,,,-89.5623673,519,0,,,,,,Ordinary (Joisted Masonry) Class III,12,,
A3 Worship and Recreation,Liberty Park/Peoria Park District,Liberty ST,,Peoria,IL,61602,,,,A-3,Public park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,Liberty,ST,,,,40.6877431,,,,-89.5895538,,0,,,,,,,,,
A3 Worship and Recreation (Liquor Lic.),Limelight Event Plex,8102 N University ST,,Peoria,IL,61614,,309-693-1234,,A-3 Dance Halls,,,,,,,,,,,,,,,,,,,,,,,,44558,,,,,,,,8102,N,University,ST,,,,40.786791,,,,-89.620681,181,0,,,,,,,15,,
A3 Worship and Recreation,Living Waters Church,7229 N Knoxville AVE,,Peoria,IL,61614,,309397-6428,,A-3 Churches,,,Main Electrical room.,Main door on C side,,2,,0,0,48000,,Bottom of stairs at C side entry,,,,,,,,,,School Days and Sundays,,4707,,,750,,,,,7229,N,Knoxville,AVE,,,,40.7757239,,,,-89.604657,131,0,,,,,,Non-Combustible (All Metal) Class II,15,,Urban
A2 Food and Drink,Long John Silvers,1801 N Knoxville AVE,,Peoria,IL,61603,,,,A-2 Restaurants,,,,,,,,,,,,,,,,,,,,,,,,854,,,,,,,,1801,N,Knoxville,AVE,,,,40.708722,,,,-89.5944577,161,0,,,,,,Wood Frame Class V,,,
A2 Food and Drink (Liquor Lic.),Longhorn Steakhouse of Peoria,7401 N Grand Prairie DR,,Peoria,IL,61615,,309-693-5750,,A-2 Restaurants,,1902,,,25,1,0,0,0,5900,,,,,,,,,,,,Day evening,,24071,,,230,,,,,7401,N,Grand Prairie,DR,,,,40.7778058,,,,-89.6772435,161,0,16T BL 7407 1754,,"Flat - Contains no slope, may or may not have eaves",Rubber Membrane,Rafter/Joist Construction,Wood Frame Class V,19,,
A2 Food and Drink (Liquor Lic.),Los Cabos,7800 W Sommer PL #106,,Peoria,IL,61615,loscabospeoria@gmail.com,309-692-2710,,A-2 Restaurants,,,,,12,1,0,60,70,4200,,,,,,,,Cleaning Supplies,,,,,,49300 - 1,,,,,,,,7800,W,Sommer,PL,,106,,40.781729,,,,-89.6120379,160,0,,,,,,Ordinary (Joisted Masonry) Class III,15,,
A2 Food and Drink (Liquor Lic.),Louisville Slugger Restaurant Admin Building,8400 N Orange Prairie RD,,Peoria,IL,61615,,(309) 692-2255,,A-2 Restaurants,,,,,,,,,,,,,,,,,,,,,,,,50565 - 3,,,,,,,,8400,N,Orange Prairie,RD,,,,40.7821327,,,2016,-89.6792591,161,0,,,,,,Non-Combustible (All Metal) Class II,19,,
A4 Indoor Sporting Events,Louisville Slugger Sports Complex,8400 N Orange Prairie RD,,Peoria,IL,61615,,(309) 692-2255,,A-4,"Indoor sporting events only. No car shows, concerts or anything but indoor  sports.",,,,,,,,,,,,,,,,,,,,,,,50565-1,,,,,,,,8400,N,Orange Prairie,RD,,,,40.7821327,,Dome ,2016,-89.6792591,123,0,,,,,,Non-Combustible (All Metal) Class II,,,
A5 Outdoor Sporting Events,Louisville Slugger Sports Complex,8400 N Orange Prairie RD,,Peoria,IL,61615,,(309) 692-2255,,A-3 Pool and Billiard Parlor,,,,,,,,,,,,,,,,,,,,,,,,50565 - 2,,,,,,,,8400,N,Orange Prairie,RD,,,,40.7821327,,outbuildings,2016,-89.6792591,,0,,,,,,,19,,
A2 Food and Drink,Main Cafe,416 Main ST #lower level,,Peoria,IL,61602,,309-643-1665,,A-2 Restaurants,,,,,,,,,,,,,,,,,,,,,,,,4478 - 3,,,,,,,,416,,Main,ST,,lower level,,40.69326,,,,-89.590633,161,0,16T BL 8110 0793,,,,,Ordinary (Joisted Masonry) Class III,1,,
A2 Food and Drink,Mariachi,1818 W War Memorial DR,,Peoria,IL,61604,,309.431.3109,,A-2 Restaurants,,1105,,sprinkler room door,16,1,no,85,100,8500,B side,utility room,,B side,,IL-AWC,,,,,,,,24364,,,,,,,,1818,W,War Memorial,DR,,,,40.7366974,,,1995,-89.6223272,161,0,16T BL 7857 1283,,Hip - sloping planes of the same pitch on four sides,Composite (Asphalt) Shingle,,Wood Frame Class V,11,,
A2 Food and Drink (Liquor Lic.),Martinis on Water Street,212 SW Water ST,,Peoria,IL,61603,,,,A-2 Restaurants,,102,,,50,1,0,0,0,2000,,,,,,,,,,,,,,22615-1,,,190,,,,,212,SW,Water,ST,,,,40.688398,,,,-89.5892891,161,0,16T BL 8120 0739,,Gable - two sloping planes of the same pitch on each side,Fiberglass Shingles,Rafter/Joist Construction,Ordinary (Joisted Masonry) Class III,1,,
A2 Food and Drink,McDonald's Restaurant,627 N Western AVE,,Peoria,IL,61605,mcdonalds.com,676-1633,,A-2 Restaurants,,318,,,,1,0,0,0,2500,,,,,,,,,,,,,,2165,,,98,,,,,627,N,Western,AVE,,,,40.6956174,,,,-89.623265,161,0,16T BL 7835 0827,,"Flat - Contains no slope, may or may not have eaves",,"Wood, Open Web",Wood Frame Class V,3,,Urban
A2 Food and Drink,McDonalds,2205 N Knoxville AVE,,Peoria,IL,61603,,,,A-2 Restaurants,,,C/D Corner,N/A,16,1,NO,60,80,5000,,,,,,,,,,,,24 Hours,,9518,,,20,,,,,2205,N,Knoxville,AVE,,,,40.714878,,,,-89.5943089,,0,16T  BL  8086  1034,,"Flat - Contains no slope, may or may not have eaves",,,Non-Combustible (Masonry) Class I,10,,Urban
A2 Food and Drink,McDonalds,4007 W Baring TRCE,,Peoria,IL,61615,,3096933540,,A-2 Restaurants,,1911,,West door,15,1,0,40,100,4000,Rear,Rear,NE Corner,Rear of building,,,None,,South,None,None,,,17080,,0,100,,,,,4007,W,Baring,TRCE,,,,40.7698587,,,,-89.6552579,519,0,16T  BL  7590  1663,,"Flat - Contains no slope, may or may not have eaves",Rubber Membrane,,Ordinary (Joisted Masonry) Class III,19,,
A2 Food and Drink,Mcdonalds,2920 NE Adams ST,,Peoria,IL,61603,,,,A-2 Restaurants,Out of Business and secured   ,,,,,,,,,,,,,,,,,,,,,,,46046,,,,,,,,2920,NE,Adams,ST,,,,40.7153216,,,,-89.5598685,,0,,,,,,Non-Combustible (Masonry) Class I,12,,
A2 Food and Drink,McDonalds,2320 W War Memorial DR,,Peoria,IL,61614,,,,A-2 Restaurants,,,None,None,,1,Yes,60,80,4800,Southeast corner,"North side, interior",None,None,,,,,,,,,,23593,,1,,,,,,2320,W,War Memorial,DR,,,,40.7441556,,,,-89.6301634,161,0,16T BL 7792 1368,,"Flat - Contains no slope, may or may not have eaves",,Rafter/Joist Construction,Non-Combustible (Masonry) Class I,13,,
A2 Food and Drink,McDonalds,3600 N University ST,,Peoria,IL,61614,derrick.claudin@us.stores.mcd.com,309-685-9397,,A-2 Restaurants,,,,,,,,0,0,0,,,,,,,,,,,,,,485435,,,20,,,,,3600,N,University,ST,,,,40.7315047,,,,-89.6120228,519,0,16T  BL  7942  1223,,,,,Non-Combustible (Masonry) Class I,11,,
A2 Food and Drink,McDonalds,2920 NE Adams ST,,Peoria,IL,61603,,,,A-2 Restaurants,,,,,,,,,,,,,,,,,,,,,,,,485436,,,,,,,,2920,NE,Adams,ST,,,,40.7153216,,,,-89.5598685,519,0,16T  BL  8377  103,,,,,Non-Combustible (Masonry) Class I,12,,
A2 Food and Drink,McDonalds,7720 N University ST,,Peoria,IL,61614,tasha.tate@usstores.mcd.com,309-692-0712,,A-2 Restaurants,,,,,,,,,,,,,,,,,,,,,,,,485437,,,18,,,,,7720,N,University,ST,,,,40.7819438,,,,-89.620798,519,0,16T  BL  7885  1785,,,,,Non-Combustible (Masonry) Class I,15,,
A2 Food and Drink,McDonalds,10701 N Knoxville AVE,,Peoria,IL,61615,,,,A-2 Restaurants,,,,,,,,,,,,,,,,,,,,,,,,485438,,,20,,,,,10701,N,Knoxville,AVE,,,,40.8181206,,,,-89.6141153,519,0, 16T  BL  7953  2185,,,,,Non-Combustible (Masonry) Class I,20,,
A2 Food and Drink (Liquor Lic.),MD's Sports Bar & Grill,7719 N University ST,,Peoria,IL,61614,info@mdsportsbar.com,691-2025,,A-2 taverns and Bars,,1507,N/A,Main entrance,14,1,No,60,75,4500,C side in Beer Garden,"Meter is on C/D side
Panel is interior C/D side",,,,,,,,Fence around beer garden in rear,,1000-0200,,20504,,,95,,,,,7719,N,University,ST,,,,40.781754,,,,-89.6220783,162,0,16T BL 7874 1783,,Hip - sloping planes of the same pitch on four sides,Fiberglass Shingles,Rafter/Joist Construction,Wood Frame Class V,15,,
A2 Food and Drink (Liquor Lic.),Ming Shee,3510 N University ST,,Peoria,IL,61614,,,,A-2 Restaurants,,,,,,1,,,,2700,,,,,,,,,,,,,,15627,,,,,,,,3510,N,University,ST,,,,40.7303468,,,,-89.612265,161,0,,,,,,Ordinary (Joisted Masonry) Class III,11,,
A1 Theaters / Performing Arts,Mirror Mirror Salon,7332 N University,,Peoria,IL,61614,Mirrorsalonstudio@gmail.com,3097131669,,B- Business,,,,,,1,No,0,0,0,Back of the building,Back room,,,,,,,,None,,Daytime hours,,,,,,,,,,7332,N,University,,,,,40.7773904,,,,-89.6209991,557,0,,,,,,Ordinary (Joisted Masonry) Class III,16,,
A2 Food and Drink,MOJA Southern Kitchen,301 N Macarthur HWY,,Peoria,IL,61605,,839.2086,,A-2 Restaurants,,204,,,,,,,,,,,,,,,,,,,,,,108034 - 1,,,90,,,,,301,N,Macarthur,HWY,,,,40.6913479,,,,-89.6077904,161,0,16T BL 7964 0776,,,,,Non-Combustible (All Metal) Class II,8,,
A2 Food and Drink (Liquor Lic.),Monical's Pizza,4100 W Willow Knolls DR #C8,,Peoria,IL,61615,,,,A-2 Restaurants,,1918,,,,1,,,,2500,,,,,,,,,,,,,,49266 - 3,,,,,,,,4100,W,Willow Knolls,DR,,C8,,40.7722244,,,,-89.6559316,161,0,,,,,,Non-Combustible (All Metal) Class II,19,,
A1 Theaters / Performing Arts,MONTESSORI ACADEMY,5901 N Prospect RD,,Peoria,IL,61614,suekim_1@hotmail.com,3094536003,,E- Day care through 12th grade,,1645,in employee break room,KNOX BOX OUTSIDE OF THE BUSINESS,,1,0,0,0,1500,,rear of the business,,,,,,,,,,during the daytime hours,,50591 - 7,,1,,,,,,5901,N,Prospect,RD,,,,40.7658303,,,,-89.596906,211,0,16T BL 8128 1503,,"Flat - Contains no slope, may or may not have eaves",Rubber Membrane with a pea gravel surface,,Wood Frame Class V,16,,
A1 Theaters / Performing Arts,Mount Sinai Seventh Day Adventist,2821 W Latrobe ST,,Peoria,IL,61605,,,,A-3 Churches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2821,W,Latrobe,ST,,,,40.6732376,,,,-89.6377179,,0,,,,,,,,,
A2 Food and Drink (Liquor Lic.),Mt Hawley Bowl,8200 N Hale AVE,,Peoria,IL,61604,,309 692-7555,,A-3 Bowling Alleys,,1514,,,35,1,0,0,0,27000,,,,,,,,,,,,,,1116,,,320,,,,,8200,N,Hale,AVE,,,,40.7866783,,,,-89.6065631,111,0,16T BL 8006 1834,,,,,Ordinary (Joisted Masonry) Class III,15,,
A2 Food and Drink (Liquor Lic.),Mutual Tap,2923 NE Adams ST,,Peoria,IL,61603,,309 682-3996,,A-2 taverns and Bars,Owner has no  email print copy of inspection.,1207,,,25,1,1,0,0,2200,,,,,,,,,,,,,,11969,,,95,,,,,2923,NE,Adams,ST,,,,40.715596,,,,-89.560547,162,0,16T BL 8372 1034,,"Flat - Contains no slope, may or may not have eaves",Rubber Membrane with a pea gravel surface,Rafter/Joist Construction,Ordinary (Joisted Masonry) Class III,12,,
A1 Theaters / Performing Arts,NATURAL BALANCE,5901 N Prospect RD #102,,Peoria,IL,61614,peorianaturalbalance.com,3096919355,,B- Business,,1645,in employee break room,Knox box,,1,0,0,0,2100,,inside back of the office,,,,,,,,,,during the daytime hours,shopping center complex,50591 - 9,,1,,,,,,5901,N,Prospect,RD,,102,,40.7585082,,,,-89.5918501,340,0,16T BL 8128 1503,,"Flat - Contains no slope, may or may not have eaves",Slate,,Wood Frame Class V,16,,
A2 Food and Drink (Liquor Lic.),New Amsterdam,120 SW Water ST #B,,Peoria,IL,61603,,,,A-2 Restaurants,Out of business,,,,,1,,,,1200,,,,,,,,,,,,,,23855,,,,,,,,120,SW,Water,ST,,B,,40.6894376,,,,-89.5882389,161,0,,,,,,Ordinary (Joisted Masonry) Class III,1,,
A3 Worship and Recreation,New Morning Star Church,413 W John H Gwynn Jr AVE,,Peoria,IL,61605,,,,A-3 Churches,,,,,,1,,400,400,160000,,,,,,,,,,,,,,45996,,,,,,,,413,W,John H Gwynn Jr,AVE,,,,40.690755,,,,-89.599347,,0,16T  BL  8036  0767,,,,,Non-Combustible (Masonry) Class I,,,
A3 Worship and Recreation,Northwoods Community Church,10700 N Allen RD,,Peoria,IL,61615,,,,A-3 Churches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10700,N,Allen,RD,,,,40.8178427,,,,-89.6280729,,0,,,,,,,,,
A2 Food and Drink (Liquor Lic.),Novu sushi,5901 N Prospect RD #13,,Peoria,IL,61614,,,,A-2 Restaurants,,1645,,,,1,,,,1300,,,,,,,,,,,,,,44817,,,,,,,,5901,N,Prospect,RD,,13,,40.7585082,,,,-89.5918501,161,0,16T BL 8128 1503,,,,,Wood Frame Class V,16,,
A1 Theaters / Performing Arts,Oak Express,7618 N State Route 91,,Peoria,IL,61615,,309-693-9196,,M- Sales Room,,,,,,,,,,,,,,,,,,,,,,,,485492 - 2,,,,,,,,7618,N,State Route 91,,,,,40.7806582,,,,-89.668672,539,0,16T  BL  7480  1783,,,,,Ordinary (Joisted Masonry) Class III,19,,
A2 Food and Drink (Liquor Lic.),Obed & Isaac's,321 NE Madison AVE,,Peoria,IL,61603,,309-306-0190,,A-2 Restaurants,,106,,,20,1,1,80,160,12800,,,,,,,,,,,,,,20720,,,,,,,,321,NE,Madison,AVE,,,,40.6962479,,,,-89.5885417,161,0,16T BL 8129 0826,,,,,Wood Frame Class V,1,,
A2 Food and Drink (Liquor Lic.),Obed & Isaac's Brewery,321 NE Madison AVE,,Peoria,IL,61603,,309-306-0190,,A-2 taverns and Bars,,,,,,,,,,,,,,,,,,,,,,,,485605,,,,,,,,321,NE,Madison,AVE,,,,40.696248,,,,-89.5885417,519,0,16T  BL  8129  0826,,,,,Non-Combustible (Masonry) Class I,1,,
A2 Food and Drink (Liquor Lic.),Old Chicago,7610 N Grand Prairie DR,,Peoria,IL,61615,,,,A-2 Restaurants,,,,right side of front door,25,1,0,0,0,7100,,,,,,,,,,,,,,29732,,,240,,,,,7610,N,Grand Prairie,DR,,,,40.7805849,,,,-89.6751805,161,0,16T BL 7425 1784,,"Flat - Contains no slope, may or may not have eaves",Rubber Membrane with a pea gravel surface,"Steel, Open Web",Non-Combustible (All Metal) Class II,19,,
A1 Theaters / Performing Arts,Old Macy's Shell 1st Floor,2200 W War Memorial DR,,Peoria,IL,61613,,,,B- Business,,,,,,,,,,,,,,,,,,,,,,,,49267 - 9,,,,,,,,2200,W,War Memorial,DR,,,,40.7408508,,,1973,-89.6293945,,0,,,,,,Non-Combustible (All Metal) Class II,13,,
A2 Food and Drink (Liquor Lic.),Olive Garden Italian Reataurant,3915 W War Memorial DR,,Peoria,IL,61604,,,,A-2 Restaurants,,1918,,,25,1,0,0,0,8400,,,,,,,,,,,,,,24527,,,150,,,,,3915,W,War Memorial,DR,,,,40.7344146,,,,-89.6181426,161,0,16T BL 7598 1675,,"Flat - Contains no slope, may or may not have eaves",Rubber Membrane with a pea gravel surface,Rafter/Joist Construction,Ordinary (Joisted Masonry) Class III,19,,
A2 Food and Drink (Liquor Lic.),Oliver's Pizza & Pub North,3300 W Willow Knolls DR,,Peoria,IL,61615,,,,A-2 Restaurants,Opens at 1530. ,,Basement,,20,2,1,46,37,3404,,,&#34;B&#34; side,Basement,,,,,,,,1200-2400,,,,,99,,,,,3300,W,Willow Knolls,DR,,,,40.774843,,,,-89.644298,161,0,,,Gable - two sloping planes of the same pitch on each side,Fiberglass Shingles,Rafter/Joist Construction,Wood Frame Class V,19,,Suburban
A2 Food and Drink (Liquor Lic.),Olympia Bar & Grill,1301 W Pioneer PKY #125,,Peoria,IL,61615,,,,A-2 taverns and Bars,in party room. 19 w/ tables and chairs or 28 w/ only chairs,1514,,,16,1,no,0,0,3365,,,,,,Private hydrant on backside of building. Likely use IL-AWC hydrants instead.,,,,,,,,108066 - 3,,,147,,,,,1301,W,Pioneer,PKY,,125,,40.7833579,,,,-89.6124483,162,0,16T BL 7952 1807,,,,,Non-Combustible (All Metal) Class II,15,,Suburban
A2 Food and Drink (Liquor Lic.),One World Eats and Drinks,1245 W Main ST,,Peoria,IL,61606,,,,A-2 Restaurants,,,,,,2,1,0,0,32000,,,,,,,,,,,,,,17447,,,100,,,,,1245,W,Main,ST,,,,40.6999874,,,,-89.6129643,161,0,16T BL 7924 0873,,,,,Ordinary (Joisted Masonry) Class III,3,,
A2 Food and Drink (Liquor Lic.),Osaka Hibachi & Sushi Bar,5201 W War Memorial DR,,Peoria,IL,61615,,,,A-2 Restaurants,,,,,,,,,,,,,,,,,,,,,,,,108062 - 1,,,,,,,,5201,W,War Memorial,DR,,,,40.7787369,,502,,-89.673712,161,0,,,,,,Ordinary (Joisted Masonry) Class III,19,,
A1 Theaters / Performing Arts,OSF Pennsylvania Offices,200 E Pennsylvania AVE,,Peoria,IL,61603,,,,B- Clinic-Outpatient,,108,,,,,,,,,,,,,,,,,,,,,,45952 - 14,,,,,,,,200,E,Pennsylvania,AVE,,,,40.7047224,Public Health,Main,,-89.5918938,340,1998420,,,,,,Non-Combustible (All Metal) Class II,1,,
A4 Indoor Sporting events (Liquor Lic.),Owens Recreational Center,1019 W Lake AVE,,Peoria,IL,61614,,309-692-1200,,A-4 Skating Rinks,,,,Park district PDF,,2,0,0,0,100000,Front building by parking lot left side behind tree,North side by Zamboanga garage,None,None,,,No,,Three sides,No,Large open areas,6am to11pm,,6406,,0,1400,,,,,1019,W,Lake,AVE,,,,40.7396068,,,1980,-89.6086482,114,0,,,"Flat - Contains no slope, may or may not have eaves",Metal,"Steel, Open Web",Non-Combustible (Masonry) Class I,11,,
A2 Food and Drink,Packard Plaza,211 NE Adams ST,,Peoria,IL,61602,,309-676-3600,,A-2 Banquet Halls,,104,Inside front door,,,3,1,75,70,15750,,"Basement, A side of building",,Basement AD Corner,,,,,,,,,,12445 - 2,,,1430,,,,,211,NE,Adams,ST,,,,40.6934611,,,,-89.5874256,121,0,,,,,,Ordinary (Joisted Masonry) Class III,1,,Urban
A2 Food and Drink (Liquor Lic.),Pat Sullivan Building,736 SW Washington ST,,Peoria,IL,61605,,303.59,,A-2 Restaurants,,,,,,,,,,,,,,,,,,,,,,,,50575,,,,,,,,736,SW,Washington,ST,,,,40.6853408,,,,-89.5964828,161,0,,,,,,Ordinary (Joisted Masonry) Class III,8,,
A2 Food and Drink (Liquor Lic.),Peace Brothers Tavern,1900 W Garden ST,,Peoria,IL,61605,,,,A-2 taverns and Bars,,,,,35,1,1,0,0,1000,,,,,,,,,,,,,,1108,,,48,,,,,1900,W,Garden,ST,,,,40.675636,,,,-89.623311,162,0,,,Gable - two sloping planes of the same pitch on each side,Fiberglass Shingles,Rafter/Joist Construction,Ordinary (Joisted Masonry) Class III,8,,
A1 Theaters / Performing Arts,Peoria Civic Center,201 SW Jefferson AVE,,Peoria,IL,61602,,309-673-8900,,A-1,,,Main panel is security office.,All exterior doors with a keyed lock,,5,1,0,0,996000,Next to city hall,Shut off to whole building is in service alway under arena,,Basement service hallway between arena and kitchen.,,,,,,,,,,13681,,0,0,,,,,201,SW,Jefferson,AVE,,,,40.6924464,,,1979,-89.5940866,123,0,16T BL 8081 0785,,"Flat - Contains no slope, may or may not have eaves",Rubber Membrane with a pea gravel surface,,Ordinary (Joisted Masonry) Class III,1,,
A4 Indoor Sporting Events,Peoria Civic Center Arena,201 SW Jefferson AVE,,Peoria,IL,61602,,309-673-8900,,A-4 Arenas,,,,,,,,,,,,,,,,,,,,,,,,13681 - 1,,,,,,,,201,SW,Jefferson,AVE,,,,40.6924464,,,,-89.5940866,123,0,,,,,,Ordinary (Joisted Masonry) Class III,1,,
A3 Worship and Recreation,Peoria Civic Center Exhibit Hall,201 SW Jefferson AVE,,Peoria,IL,61602,,309-673-8900,,A-3 Auditoriums,,,,,,,,,,,,,,,,,,,,,,,,13681 - 3,,,,,,,,201,SW,Jefferson,AVE,,,,40.6924464,,,,-89.5940866,122,0,,,,,,Ordinary (Joisted Masonry) Class III,1,,
A1 Theaters / Performing Arts,Peoria Civic Center Theater,201 SW Jefferson AVE,,Peoria,IL,61602,,309-673-8900,,A-1 Theaters,,,,,,,,,,,,,,,,,,,,,,,,13681 - 2,,,,,,,,201,SW,Jefferson,AVE,,,,40.6924464,,,,-89.5940866,181,0,,,,,,Ordinary (Joisted Masonry) Class III,1,,
A1 Theaters / Performing Arts,Peoria Day Surgery,7309 N Knoxville AVE #2,,Peoria,IL,61614,,309--692-9210,,B- Business,,,,,,,,,,,,,,,,,,,,,,,,485447 - 1,,,,,,,,7309,N,Knoxville,AVE,,2,,40.7768147,,,,-89.603286,340,0,16T  BL  8031  1724,,,,,Wood Frame Class V,15,,
A2 Food and Drink (Liquor Lic.),Peoria Hofbrau Restaurant,2210 NE Jefferson AVE,,Peoria,IL,61603,,,,A-2 Restaurants,,,,,,2,1,0,0,2000,,,,,,,,,,,,,,13777,,,70,,,,,2210,NE,Jefferson,AVE,,,,40.7086277,,,,-89.5651436,161,0,16T BL 8330 0957,,"Flat - Contains no slope, may or may not have eaves",Rubber Membrane,Rafter/Joist Construction,Wood Frame Class V,12,,
A1 Theaters / Performing Arts,Peoria Park District HIRSA,8727 N Pioneer RD,,Peoria,IL,61615,,,,A-4,,,,,,,,,,,,,,,,,,,,,,,,35233,,,,,,,,8727,N,Pioneer,RD,,,,40.7941733,,,,-89.6253853,,0,,,,,,,,,
A5 Outdoor Sporting Events,Peoria Park District- Dr. Martin Luther King Jr. Park,835 W McBean ST,,Peoria,IL,61605,,,,A-5,Public Park,203,,,,,,,,,,,,,,,,,,,,,,485415,,,,,,,,835,W,McBean,ST,,,,-1,,,,-1,124,0,,,,,,,8,,
A1 Theaters / Performing Arts,peoria Players,4003 N University ST,,Peoria,IL,61614,,,,A-1 Theaters,,,,,,,,,,,,,,,,,,,,,,,,30672,,,,,,,,4003,N,University,ST,,,,40.7357829,,,,-89.6130063,,0,,,,,,,,,
A1 Theaters / Performing Arts,Peoria Players Theater,4300 N University ST,,Peoria,IL,61614,players@matco.com,309-688-4473,,A-1 Theaters,,1112,,,45,1,1,80,100,8000,,,,,,,,Spray Paint 35x12oz,,,,,,7806,,,,,,,,4300,N,University,ST,,,,40.7403091,,,1953,-89.6117214,181,0,16T BL 7947 1321,,,,,Ordinary (Joisted Masonry) Class III,11,,
A5 Outdoor Sporting Events (Liquor Lic.),Peoria Polo Club,6000 W War Memorial,,Peoria,IL,61615,,,,A-5,,,,,,1,,,,80000,,,,,,,,,,,,,,39338,,,,,,,,6000,W,War Memorial,,,,,40.7586578,,,,-89.6380765,140,0,16T BL 7331 1762,,,,,Wood Frame Class V,19,,
A3 Worship and Recreation,Peoria Public Library,107 NE Monroe ST,,Peoria,IL,61603,,,,A-3 Libraries,,,,,,,,,,,,,,,,,,,,,,,,12153,,,,,,,,107,NE,Monroe,ST,,,,40.695347,,,,-89.5924468,,0,,,,,,,,,
A3 Worship and Recreation,peoria Public Library,1312 W Lincoln AVE,,Peoria,IL,61605,,,,A-3 Libraries,,,,,,,,,,,,,,,,,,,,,,,,10183,,,,,,,,1312,W,Lincoln,AVE,,,,40.6804301,,,,-89.6143492,,0,,,,,,,,,
A1 Theaters / Performing Arts,Peoria Public Library North,3001 N Grand Prairie DR,,Peoria,IL,61615,,,,A-3 Libraries,Library,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3001,N,Grand Prairie,DR,,,,40.779447,,,,-89.6758047,151,0,,,,,,,,,
A5 Outdoor Sporting Events,Peoria Public Schools Stadium,315 E War Memorial DR,,Peoria,IL,61614,,,,A-5 Stadiums,,,,,,1,,,,0,,,,,,,,,,,,,,10418,,,,,,,,315,E,War Memorial,DR,,,,40.7321072,,,1905,-89.5896968,123,0,,,,,,Fire Resistive Class I,10,,
A5 Outdoor Sporting Events (Liquor Lic.),Peoria Riverfront,200 NE Water ST,,Peoria,IL,61603,,,,A-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,NE,Water,ST,,,,40.6918611,,,,-89.5839787,,0,,,,,,,,,
A5 Outdoor Sporting Events,Peoria Zoo,2218 N Prospect RD,,Peoria,IL,61603,,309-681-3508,,A-5,,,,,,,,,,,,,,,,,,,,,,,,3896,,,,,,,,2218,N,Prospect,RD,,,,40.7152712,,,,-89.5757458,129,0,,,,,,,10,,
A2 Food and Drink,Perkins Restaurant & Bakery #1177,1810 W War Memorial DR,,Peoria,IL,61614,,309-682-8616,,A-2 Restaurants,,,,,,,,,,,,,,,,,,,,,,,,485538,,,,,,,,1810,W,War Memorial,DR,,,,40.7359834,,,,-89.6214999,161,0,16T  BL  7863  1275,,,,,Wood Frame Class V,11,,
A2 Food and Drink (Liquor Lic.),Pioneer Smokehouse,1112 W pioneer PKY,,Peoria,IL,61615,,3099663710,,A-2 Restaurants,,,,,,1,,,,0,,,,,,,,,,,,,,45843,,,,,,,,1112,W,pioneer,PKY,,,,40.782835,,,,-89.6091409,161,0,,,,,,Ordinary (Joisted Masonry) Class III,15,,
A2 Food and Drink (Liquor Lic.),Pioneer Smokehouse & Saloon,1112 W Pioneer PKY,,Peoria,IL,61615,dl.harris64@hotmail.com,966-3710,,A-2 Restaurants,,1513,,,,,,0,0,0,,,,,,,,,,,,,,23323,,,,,,,,1112,W,Pioneer,PKY,,,,40.782835,,,,-89.6091409,161,0,16T BL 7984 1796,,,,,Ordinary (Joisted Masonry) Class III,15,,
A2 Food and Drink (Liquor Lic.),Pitch Karaoke Bar,631 W Main ST,,Peoria,IL,61606,,309 839-2475,,A-2 taverns and Bars,,,,,,,,,,,,,,,,,,,,,,,,19626,,,,,,,,631,W,Main,ST,,,,40.699874,,,,-89.6034947,162,0,16T BL 8004 0870,,,,,,3,,
A1 Theaters / Performing Arts,Pizza Hut,1200 W Main ST,,Peoria,IL,61606,,,,A-2 Restaurants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,W,Main,ST,,,,40.6989781,,,,-89.6116926,,0,,,,,,,,,
